symbol,ts_code,name,in_pool
603713,603713.SH,密尔克卫,1
603728,603728.SH,鸣志电器,1
603800,603800.SH,洪田股份,1
603855,603855.SH,华荣股份,1
603893,603893.SH,瑞芯微,1
603899,603899.SH,晨光股份,1
603915,603915.SH,国茂股份,1
603986,603986.SH,兆易创新,1
605111,605111.SH,新洁能,1
605589,605589.SH,圣泉集团,1
688005,688005.SH,容百科技,1
688008,688008.SH,澜起科技,1
688012,688012.SH,中微公司,1
688017,688017.SH,绿的谐波,1
688019,688019.SH,安集科技,1
688050,688050.SH,爱博医疗,1
688062,688062.SH,迈威生物-U,1
688080,688080.SH,映翰通,1
688099,688099.SH,晶晨股份,1
688110,688110.SH,东芯股份,1
688111,688111.SH,金山办公,1
688114,688114.SH,华大智造,1
688118,688118.SH,普元信息,1
688123,688123.SH,聚辰股份,1
688160,688160.SH,步科股份,1
688165,688165.SH,埃夫特-U,1
688229,688229.SH,博睿数据,1
688256,688256.SH,寒武纪-U,1
688278,688278.SH,特宝生物,1
688312,688312.SH,燕麦科技,1
688315,688315.SH,诺禾致源,1
688320,688320.SH,禾川科技,1
688322,688322.SH,奥比中光-UW,1
688338,688338.SH,赛科希德,1
688343,688343.SH,云天励飞-U,1
688361,688361.SH,中科飞测,1
688388,688388.SH,嘉元科技,1
688390,688390.SH,固德威,1
688392,688392.SH,骄成超声,1
688435,688435.SH,英方软件,1
688466,688466.SH,金科环境,1
688469,688469.SH,芯联集成-U,1
688484,688484.SH,南芯科技,1
688500,688500.SH,慧辰股份,1
688502,688502.SH,茂莱光学,1
688507,688507.SH,索辰科技,1
688518,688518.SH,联赢激光,1
688529,688529.SH,豪森智能,1
688578,688578.SH,艾力斯,1
688582,688582.SH,芯动联科,1
688617,688617.SH,惠泰医疗,1
688629,688629.SH,华丰科技,1
688676,688676.SH,金盘科技,1
688768,688768.SH,容知日新,1
688777,688777.SH,中控技术,1
688778,688778.SH,厦钨新能,1
688787,688787.SH,海天瑞声,1
688799,688799.SH,华纳药厂,1
688981,688981.SH,中芯国际,1
689009,689009.SH,九号公司-WD,1
835185,835185.BJ,贝特瑞,1
